team_name,points,goals_for,goals_against,cohesion_total,cohesion_connectivity,cohesion_chemistry,cohesion_balance,cohesion_progression,density,max_betweenness,matches_played,goal_diff
Bayer 04 Leverkusen,90,87,24,0.5598075912852627,0.36478025089532284,0.9790621198279462,0.6100362397035579,0.2853517547142235,0.5854746968717557,0.24812468033056265,34,63
VfB Stuttgart,75,78,36,0.561933878638612,0.35258338353610635,0.9923620826246714,0.6287526873667104,0.27403736102695986,0.5743474662592309,0.22365280377885421,34,42
FC Bayern München,72,93,45,0.5732778189876948,0.35928419153952507,0.9859740579112739,0.6382399923801361,0.30961303411984387,0.5991130193336076,0.22932759700616842,34,48
RasenBallsport Leipzig,65,74,38,0.5495103127143337,0.31966185817139275,0.9845867760791523,0.6065444828721827,0.28724813373460695,0.5256369855634562,0.2059543658178112,34,36
Borussia Dortmund,64,68,41,0.5484609357604026,0.3407421567882463,0.9755625034595043,0.6193637861938497,0.2581752966000101,0.5630157832363715,0.22290542596214866,34,27
TSG 1899 Hoffenheim,47,65,65,0.5268551447871092,0.34161617565810853,0.844160859601536,0.6596289898438513,0.2620145540449411,0.531258080155139,0.20393469100927084,34,0
Eintracht Frankfurt,45,48,50,0.5210826153227124,0.31887823321082925,0.935041007340103,0.6242637209154985,0.20614749982441852,0.5155812324929973,0.23013216203342257,34,-2
SC Freiburg,41,43,57,0.5534666763247643,0.3368696022465152,0.9503155169994706,0.6724563203425258,0.2542252657105455,0.5255400237017884,0.2106633375811624,34,-14
VfL Wolfsburg,40,41,53,0.5509583928470251,0.32578423760480746,0.9760286311882524,0.6508554167877122,0.25116528580732816,0.5126805792246969,0.21635880770334553,34,-12
SV Werder Bremen,40,45,53,0.534406220658677,0.327417647325228,0.8918850714938455,0.6592910725843139,0.2590310912313211,0.516645119586296,0.22714681774030515,34,-8
1. FC Heidenheim 1846,39,46,52,0.5559196248818914,0.3296553347067158,0.9616515497113182,0.6867697234128017,0.24560189169673016,0.4988580047403577,0.19777985009077448,34,-6
VfL Bochum,37,41,70,0.5634627639020637,0.3264525450908072,0.9545903669278187,0.6561482788310471,0.31665986475858215,0.49452912283794637,0.21252127055173275,34,-29
FC Augsburg,37,49,58,0.5460323933397797,0.31377078520979507,0.9189050432546435,0.6574570348179946,0.2939967100766857,0.4869141887524241,0.2105448640217548,34,-9
1. FSV Mainz 05,34,38,50,0.5660108576115732,0.3372717960872436,0.9593392068896142,0.6732810288158046,0.2941513986536301,0.5147314695108813,0.2098213084767707,34,-12
1. FC Union Berlin,33,33,57,0.5118717979035137,0.31369886372767053,0.8352992158559627,0.6638321748596434,0.23465693717077807,0.47727591036414563,0.21388116279923006,34,-24
Borussia Mönchengladbach,32,55,67,0.538955115294755,0.32335161535728124,0.8937784335127811,0.6591298719979809,0.2795605403109769,0.5094093406593406,0.22244948115221225,34,-12
1. FC Köln,27,28,60,0.5615088239994617,0.32674429911052527,0.969296528420193,0.6619756302297818,0.2880188382373469,0.5091655893126481,0.21241493308781992,34,-32
SV Darmstadt 98,19,28,84,0.5462377613727645,0.3142135236413324,0.9463588716815198,0.6434411657873705,0.2809374843808349,0.48447532859297565,0.21850608541785013,34,-56
