team_name,points,goals_for,goals_against,cohesion_total,cohesion_optimized,cohesion_connectivity,cohesion_chemistry,cohesion_balance,hub_dependence,cohesion_progression,goal_diff
Bayer 04 Leverkusen,90,87,24,0.5598075912852627,0.5141853949205366,0.3647802508953228,0.9790621198279462,0.6100362397035579,0.3899637602964421,0.2853517547142235,63
VfB Stuttgart,75,78,36,0.561933878638612,0.5074730454219104,0.35258338353610635,0.9923620826246714,0.6287526873667104,0.3712473126332896,0.2740373610269598,42
FC Bayern München,72,93,45,0.5732778189876948,0.511360914802545,0.359284191539525,0.9859740579112739,0.6382399923801361,0.3617600076198639,0.3096130341198438,48
RasenBallsport Leipzig,65,74,38,0.5495103127143337,0.49372076404811777,0.3196618581713927,0.9845867760791523,0.6065444828721827,0.39345551712781734,0.2872481337346069,36
Borussia Dortmund,64,68,41,0.5484609357604026,0.4971746659899227,0.3407421567882463,0.9755625034595043,0.6193637861938497,0.38063621380615026,0.25817529660001004,27
TSG 1899 Hoffenheim,47,65,65,0.5268551447871092,0.4591054096573547,0.34161617565810853,0.844160859601536,0.6596289898438513,0.34037101015614873,0.26201455404494106,0
Eintracht Frankfurt,45,48,50,0.5210826153227124,0.47017456028555743,0.31887823321082925,0.935041007340103,0.6242637209154985,0.37573627908450147,0.20614749982441846,-2
SC Freiburg,41,43,57,0.5534666763247643,0.48056775889280096,0.33686960224651513,0.9503155169994706,0.6724563203425258,0.3275436796574742,0.25422526571054543,-14
VfL Wolfsburg,40,41,53,0.5509583928470251,0.48438749266204284,0.3257842376048074,0.9760286311882524,0.6508554167877122,0.3491445832122878,0.2511652858073281,-12
SV Werder Bremen,40,45,53,0.534406220658677,0.4636895397715604,0.327417647325228,0.8918850714938455,0.6592910725843139,0.3407089274156862,0.25903109123132106,-8
1. FC Heidenheim 1846,39,46,52,0.5559196248818914,0.4767852854389401,0.32965533470671576,0.9616515497113182,0.6867697234128017,0.31323027658719826,0.24560189169673016,-6
VfL Bochum,37,41,70,0.5634627639020637,0.4851176089285594,0.3264525450908072,0.9545903669278187,0.6561482788310471,0.3438517211689529,0.3166598647585821,-29
FC Augsburg,37,49,58,0.5460323933397797,0.4673927692035278,0.313770785209795,0.9189050432546435,0.6574570348179946,0.3425429651820055,0.29399671007668565,-9
1. FSV Mainz 05,34,38,50,0.5660108576115732,0.4868936853090177,0.3372717960872436,0.9593392068896142,0.6732810288158046,0.32671897118419535,0.2941513986536301,-12
1. FC Union Berlin,33,33,57,0.5118717979035137,0.4395651033159572,0.31369886372767053,0.8352992158559627,0.6638321748596434,0.33616782514035665,0.23465693717077804,-24
Borussia Mönchengladbach,32,55,67,0.538955115294755,0.46420698928823645,0.3233516153572812,0.893778433512781,0.6591298719979809,0.3408701280020191,0.2795605403109769,-12
1. FC Köln,27,28,60,0.5615088239994617,0.4852018209495783,0.32674429911052527,0.969296528420193,0.6619756302297818,0.33802436977021827,0.28801883823734686,-32
SV Darmstadt 98,19,28,84,0.5462377613727645,0.475274053311024,0.3142135236413324,0.9463588716815198,0.6434411657873705,0.3565588342126294,0.2809374843808348,-56
